epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,87.2186,0.25444,0.41134,0.7451,0.70282,0.80547,0.8327,0.58839,0.85836,0.97304,0.90236,0.0004786,0.0004786,0.0004786
81,88.2338,0.25253,0.41389,0.74324,0.69899,0.79792,0.84025,0.59529,0.85559,0.97567,0.90173,0.000472,0.000472,0.000472
82,89.2544,0.25645,0.40323,0.74534,0.70544,0.7753,0.8312,0.57392,0.89859,1.00546,0.9139,0.0004654,0.0004654,0.0004654
83,90.2456,0.26021,0.41188,0.74418,0.70544,0.7753,0.8312,0.57392,0.89859,1.00546,0.9139,0.0004588,0.0004588,0.0004588
84,91.2642,0.24103,0.39265,0.74513,0.69663,0.78881,0.83165,0.56881,0.91135,1.02815,0.91629,0.0004522,0.0004522,0.0004522
85,92.2519,0.23952,0.39566,0.74389,0.69201,0.78449,0.83129,0.57349,0.87917,1.03596,0.90497,0.0004456,0.0004456,0.0004456
86,93.2601,0.25092,0.4002,0.746,0.69201,0.78449,0.83129,0.57349,0.87917,1.03596,0.90497,0.000439,0.000439,0.000439
87,94.2545,0.24301,0.38728,0.7433,0.7047,0.76721,0.83515,0.57958,0.85894,1.04032,0.90048,0.0004324,0.0004324,0.0004324
88,95.269,0.23493,0.3849,0.74323,0.70901,0.76753,0.8336,0.57978,0.85736,1.03448,0.90154,0.0004258,0.0004258,0.0004258
89,96.2671,0.22616,0.38209,0.74061,0.70901,0.76753,0.8336,0.57978,0.85736,1.03448,0.90154,0.0004192,0.0004192,0.0004192
90,97.282,0.23432,0.3836,0.74112,0.70153,0.77418,0.83518,0.56586,0.88273,1.0221,0.90827,0.0004126,0.0004126,0.0004126
91,98.2885,0.23172,0.37784,0.74309,0.69589,0.77673,0.8338,0.56108,0.87818,1.02454,0.90554,0.000406,0.000406,0.000406
92,99.325,0.2206,0.36845,0.73705,0.69589,0.77673,0.8338,0.56108,0.87818,1.02454,0.90554,0.0003994,0.0003994,0.0003994
93,100.344,0.23107,0.36823,0.74009,0.68491,0.76558,0.8302,0.5648,0.86557,1.04579,0.89962,0.0003928,0.0003928,0.0003928
94,101.339,0.21653,0.36486,0.74002,0.68761,0.77508,0.82957,0.56657,0.85693,1.05485,0.89645,0.0003862,0.0003862,0.0003862
95,102.33,0.22541,0.36741,0.73887,0.68761,0.77508,0.82957,0.56657,0.85693,1.05485,0.89645,0.0003796,0.0003796,0.0003796
96,103.325,0.20134,0.34879,0.73506,0.67919,0.78913,0.82942,0.57119,0.85089,1.0372,0.89783,0.000373,0.000373,0.000373
97,104.329,0.20054,0.35134,0.73764,0.67788,0.80058,0.82965,0.58,0.86139,1.01787,0.90551,0.0003664,0.0003664,0.0003664
98,105.326,0.19348,0.33796,0.73615,0.67788,0.80058,0.82965,0.58,0.86139,1.01787,0.90551,0.0003598,0.0003598,0.0003598
99,106.321,0.18896,0.33678,0.73509,0.68244,0.78587,0.82905,0.57591,0.87129,1.01825,0.90777,0.0003532,0.0003532,0.0003532
100,107.318,0.18441,0.33267,0.73703,0.69606,0.78817,0.83226,0.5751,0.87125,1.00941,0.90356,0.0003466,0.0003466,0.0003466
101,108.306,0.18793,0.32831,0.73518,0.69606,0.78817,0.83226,0.5751,0.87125,1.00941,0.90356,0.00034,0.00034,0.00034
